Key,Arabic,French,English
phrase_hibicus1769511633,"زهرة حمراء زاهية تنمو في الأماكن الدافئة. تُزرع في إفريقيا وآسيا وتُحبّ المناخ الدافئ. ترمز إلى القوة والحيوية، ويُصنع منها شراب لذيذ.","Une fleur rouge vif qui pousse dans les endroits chauds.Elle est cultivée en Afrique et en Asie et aime le climat chaud.Elle symbolise la force et la vitalité,et un sirop délicieux est fabriqué à partir","A bright red flower that grows in warm places.It is cultivated in Africa and Asia and loves the warm climate.It symbolizes strength and vitality,and a delicious syrup is made from it."
phrase_lavender1769511834,"نبات عطريّ من منطقة البحر الأبيض المتوسط، تُستخدم أزهارها في صناعة الصابون والزيوت المعطّرة. تُعطّر الهواء برائحتها الهادئة والمريحة !","Une plante parfumée de la région méditerranéenne,ses fleurs sont utilisées dans la production de savon et d'huiles parfumées.Elle parfume l'air avec son parfum calme et apaisant!","A fragrant plant from the Mediterranean region,its flowers are used in the production of soap and perfumed oils.It fragrances the air with its calm and soothing scent!"
phrase_paperlily1769512513,"زهرة أنيقة تنمو قرب الماء وتحبّ الضوء! تعيش في المناطق المعتدلة، لها أزهار كبيرة بيضاء أو ملوّنة. تزرع في الحدائق وتستعمل أحيانًا للزينة في الاحتفالات.","Une fleur élégante qui pousse près de l'eau et qui aime la lumière!Elle vit dans les régions tempérées,a de grandes fleurs blanches ou colorées.Elle est plantée dans les jardins et est parfois utilisée pour la décoration lors des célébrations.","An elegant flower that grows near water and loves light!It lives in temperate regions,has large white or colored flowers.It is planted in gardens and sometimes used for decoration in celebrations."
phrase_dahlia1769512668,"نبات موطنه المكسيك، أزهارها ضخمة ومتنوّعة الألوان. تنمو زهرة الأَضَالِيَة في الجبال والحدائق، أصبحت رمزًا للحدائق الصيفيّة وتستعمل في مسابقات الزهور.","Une plante originaire du Mexique,ses fleurs sont grandes et variées en couleur.La fleur de Dahlia pousse dans les montagnes et les jardins,est devenue un symbole des jardins d'été et est utilisée dans les concours de fleurs.","A plant native to Mexico,its flowers are large and varied in color.The Dahlia flower grows in mountains and gardens,has become a symbol of summer gardens and is used in flower competitions."
phrase_peony1769513220,"نبات معمّر موطنه الصين، يُزرع لجمال أزهاره الكبيرة التي تشبه الغيوم الوردية!  يُستعمل في الزينة وبعض الطبّ التقليدي الآسيوي.","Une plante vivace originaire de Chine,cultivée pour ses grandes fleurs roses en forme de nuages!Elle est utilisée pour l'ornementation et certains médicaments traditionnels asiatiques.","A perennial plant native to China,cultivated for its large,cloud-like pink flowers!It is used for ornamentation and some traditionalAsian medicine."
phrase_orchid1769513401,"واحدة من أضخم عائلات النباتات، فيها آلاف الأنواع. نادرة وفاخرة وتنمو في الغابات الرطبة والاستوائية وتتميّز بأشكالها الغريبة والمميّزة. رمز للجمال والرقيّ والتميّز الفريد.","L'une des plus grandes familles de plantes,avec des milliers d'espèces.Rare et luxueux,il pousse dans les forêts humides et tropicales et se caractérise par ses formes étranges et distinctives. Un symbole de beauté,d'élégance et de distinction unique.","One of the largest plant families,with thousands of species.Rare and luxurious,it grows in humid and tropical forests and is characterized by its strange and distinctive shapes.A symbol of beauty,elegance,and unique distinction."
sunflower_123456,"دوّار الشمس","Tournesol","Sunflower"
tulip_147258,"التوليب","Tulipe","Tulip"
rose_258369,"الوردة","Rose","Rose"
daisy_874965,"الأقحوان","Marguerite","Daisy"
hibicus_212236,"الخَطْمِيّ","Hibiscus","Hibiscus"
lavender_598325,"الخُزامَى","Lavande","Lavender"
lily_471779,"الزنبق","Lys","Lily"
peony_665588,"عود الصليب","Pivoine","Peony"
dahlia_003636,"الأَضَالِيَةُ","Dahlia","Dahlia"
orchid_585565,"السحلبية","Orchidée","Orchid"
phrase_1769672940,"مرحبا يا أبطال!","Bonjour héros!","Hello heroes!"
phrase_1769679939,"اختر الفئات المفضلة لطفلك","Choisissez les catégories préférées de votre enfant","Choose your child's favorite categories"
phrase_1769680057,"من أين نبدأ مغامرة طفلك في فريد؟","Où commençons-nous l'aventure de votre enfant à Ferid?","Where do we start your child's adventure in Ferid?"
phrase_1769680244,"الدراسة","Étudier","Studying"
phrase_1769680270,"تنمية الذّكاءات","Intelligences","Intelligences"
phrase_1769680277,"المطالعة","Lecture","Reading"
phrase_1769680288,"التنوع","Diversité","Diversity"
phrase_1769680341,"اللّعب","Jouer","Playing"
phrase_1769681308,"الكرتون","Vidéos","Videos"
phrase_1769687611,"أدر العجلة","Tourner la roue","Turn the wheel"

please_wait_remaining_time_63841,"الرّجاء انتظار الوقت المتبقّي","Veuillez attendre le temps restant","Please wait for the remaining time"
free_game_one_day_92754,"يمكنك التمتّع بهذه الّلعبة ليوم كامل مجّانا.\nستجدها في القائمة الرّئيسيّة","Vous pouvez profiter de ce jeu gratuitement pendant une journée entière.\nVous le trouverez dans le menu principal","You can enjoy this game for a full day for free.\nYou’ll find it in the main menu"
congrats_free_game_34127,"تهانينا! لقد ربحت لعبة مجّانيّة","Félicitations!Vous avez gagné un jeu gratuit","Congratulations!You won a free game"
free_story_one_day_58291,"يمكنك التمتّع بهذه القصّة ليوم كامل مجّانا. ستجدها في القائمة الرّئيسيّة","Vous pouvez profiter de cette histoire gratuitement pendant une journée entière. Vous la trouverez dans le menu principal","You can enjoy this story for a full day for free. You’ll find it in the main menu"
congrats_free_story_77420,"تهانينا! لقد ربحت قصّة مجّانيّة","Félicitations! Vous avez gagné une histoire gratuite","Congratulations! You won a free story"
three_days_premium_91834,"يمكنك الاستمتاع بثلاثة أيّام متواصلة من المحتويات المميّزة لفريد","Vous pouvez profiter de trois jours consécutifs de contenus premium de Ferid","You can enjoy three consecutive days of Ferid’s premium content"
congrats_three_days_66519,"تهانينا! لقد ربحت اشتراك ثلاثة أيّام","Félicitations!Vous avez gagné un abonnement de trois jours","Congratulations! You won a three-day subscription"
one_week_premium_44082,"يمكنك الاستمتاع بأسبوع كامل متواصل من المحتويات المميّزة لفريد","Vous pouvez profiter d’une semaine entière de contenus premium de Ferid","You can enjoy a full week of Ferid’s premium content"
congrats_seven_days_30956,"تهانينا! لقد ربحت اشتراك سبعة أيّام","Félicitations!Vous avez gagné un abonnement de sept jours","Congratulations! You won a seven-day subscription"
one_day_premium_28741,"يمكنك الاستمتاع بيوم كامل متواصل من المحتويات المميّزة لفريد","Vous pouvez profiter d’une journée entière de contenus premium de Ferid","You can enjoy a full day of Ferid’s premium content"
congrats_daily_sub_95418,"تهانينا! لقد ربحت اشتراكاً يوميّاً","Félicitations ! Vous avez gagné un abonnement journalier","Congratulations! You won a daily subscription"
better_luck_short_62035,"حظاً أفضل في المرّة القادمة","Dommage","Better luck"
congrats_three_months_18394,"تهانينا! لقد ربحت تمديداً بثلاثة أشهر","Félicitations ! Vous avez gagné une extension de trois mois","Congratulations! You won a three-month extension"
sub_extended_three_months_57126,"اشتراكك المميّز قد تمدّد بثلاثة أشهر إضافيّة","Votre abonnement premium a été prolongé de trois mois supplémentaires","Your premium subscription has been extended by three additional months"
congrats_one_year_84620,"تهانينا! لقد ربحت تمديداً بسنة كاملة","Félicitations ! Vous avez gagné une extension d’un an","Congratulations! You won a one-year extension"
sub_extended_one_year_49275,"اشتراكك المميّز قد تمدّد بسنة إضافيّة كاملة","Votre abonnement premium a été prolongé d’une année complète supplémentaire","Your premium subscription has been extended by a full additional year"
congrats_special_decor_71048,"تهانينا! لقد ربحت ديكوراً خاصّاً","Félicitations ! Vous avez gagné un décor spécial","Congratulations! You won a special decoration"
congrats_extra_thunder_36819,"تهانينا! لقد ربحت رعوداً إضافيّة","Félicitations ! Vous avez gagné des tonnerres supplémentaires","Congratulations! You won extra thunder"
grand_prize_info_99041,"صندوق فريد هي الجائزة الكبرى، الرّجاء الاتّصال بمركز الفريد لتتحصّل على جائزتك","Le coffre Ferid est le grand prix, veuillez contacter le centre Ferid pour récupérer votre récompense","The Ferid box is the grand prize. Please contact the Ferid center to receive your reward"
congrats_grand_prize_55403,"تهانينا! لقد ربحت الجائزة الكبرى!","Félicitations ! Vous avez gagné le grand prix !","Congratulations! You won the grand prize!"
useful_fact_23188,"معلومة مفيدة","Information utile","Useful fact"
extra_thunder_67952,"رعد إضافي","Tonnerre supplémentaire","Extra thunder"
longer_play_time_81547,"يمكنك التمتّع بالألعاب لفترة أطول","Vous pouvez profiter des jeux plus longtemps","You can enjoy the games for a longer time"
special_decor_label_40296,"ديكور خاص","Décor spécial","Special decoration"
menu_background_change_76014,"ستجد خلفيّة القائمة الرّئيسيّة مختلفة عن العادة","Vous trouverez l’arrière-plan du menu principal différent de l’habitude","You’ll find the main menu background different from usual"

phrase_1770115954,"جاري التّحميل","Chargement en cours","Loading"
phrase_1770205552,"سنوات","années","years"
phrase_1770205837,"تحميل","Télécharger","Download"
phrase_1770205892,"هيا بنا!","Allons-y!","Let's go!"
phrase_1770206059,"حذف","Supprimer","Delete"
phrase_1770364727,"ألعاب","Jeux","Games"

musical_intelligence_47291,"الذكاء الموسيقي","Intelligence musicale","Musical intelligence"
spatial_intelligence_61538,"الذكاء المكاني","Intelligence spatiale","Spatial intelligence"
bodily_kinesthetic_intelligence_83924,"الذكاء الحركي","Intelligence kinesthésique","Bodily-kinesthetic intelligence"
naturalistic_intelligence_29475,"الذكاء الطبيعي","Intelligence  naturaliste","Naturalistic  intelligence"
social_intelligence_56183,"الذكاء الاجتماعي","Intelligence sociale","Social intelligence"
linguistic_intelligence_70842,"الذكاء اللغوي","Intelligence linguistique","Linguistic intelligence"
logical_mathematical_intelligence_93651,"الذكاء المنطقي الرياضي","Intelligence logico-mathématique","Logical-mathematical intelligence"
intrapersonal_intelligence_18467,"الذكاء الذّاتي","Intelligence intrapersonnelle","Intrapersonal intelligence"
multiple_intelligences_65029,"الذكائات المتنوّعة","Intelligences multiples","Multiple intelligences"

Ferid_among_civilizations_72841,"فريد بين الحضارات","Ferid à travers les civilisations","Ferid among civilizations"
islamic_stories_53928,"قصص إسلاميّة","Histoires islamiques","Islamic stories"
Ferid_tales_61475,"حكايات فريد","Contes de Ferid","Ferid tales"


phrase_1773132203,"وَصَل فَهْدٌ إلَى اُلْوَرْشَة وَفِي حَوْزَتِه كُلّ اُلْمُعِدَّاتِ الَّتِي يَحْتَاجُهَا . وَفِي انْتِظَار الْتِحَاق فَرِيد بِه ، ذَهَب لِيَبْحَثَ عَنْ مُدَوَّنَتِه ، فَهِي تَحْتَوِي عَلَى كَلِمَةِ آلسِّرّ الَّتِي سَيَسْتَعْمِلُهَا فِي فَتْحِ خَزْنَتِهِ اَلْخَاصَّةِ . ","Fahd est arrivé à l'atelier avec tout l'équipement dont il avait besoin en sa possession. En attendant que Ferid le rejoigne, il est allé chercher son carnet, qui contenait le mot secret qu'il utiliserait pour ouvrir son trésor privé.","Fahd arrived at the workshop with all the equipment he needed in his possession. While waiting for Ferid to join him, he went to look for his notebook, which contained the secret word he would use to open his private treasury."
phrase_1773132208,"فَفَهْدٌ ، وَإِنْ كَانَ كَثِيرَ الْحَرَكَةِ وَالنَّشَاط ، دائماً مَا يُدَوَّنُ الأرْقَام آلسِّرِّيَّة لِأَوْقَات الشِّدَّةِ كَمَا هُوَ الْحَالُ الْيَوْمَ ، فَهُو يَحْتَاجُ إِلَى فَتْحِ الْخَزَنَة لِلِإِطِّلَاعِ عَلَى الْكَمِّيَّات آللَّازِمَةِ مِنْ كُلِّ مُكَوِّنٍ لِصُنْع الْمِفْتَاح لِفَرِيد . فَقِطَعُ الْمَرَكَبَة فَرِيدَةٌ مِنْ نَوْعِهَا وَصُنْعَهَا يَتَطَلَّبُ الْعَوْدَةِ إلَى آلدَّلِيل لِضَمَانِ آلتَّطَابُق مَع الْمُحَرِّك . ","Alors Fahd, bien qu'il soit très actif et dynamique, enregistre toujours les numéros secrets pour les périodes de difficulté, comme c'est le cas aujourd'hui, il a donc besoin d'ouvrir le trésor pour découvrir les quantités requises de chaque composant pour fabriquer la clé pour Ferid. Les pièces du véhicule sont uniques en leur type et leur fabrication, ce qui nécessite un retour au guide pour assurer la compatibilité avec le moteur.","So Fahd, although very active and dynamic, always records the secret numbers for times of hardship, as is the case today, so he needs to open the treasury to find out the required quantities of each component to make the key for Ferid. The parts of the vehicle are unique in their type and manufacture, requiring a return to the guide to ensure compatibility with the engine."
phrase_1773132214,"الْتَحَق فَرِيدٌ بِفَهْدٍ فَوَجَدَهُ مُتَوَتِّرًا وَ مُشَتَّتَ الذِّهْنِ  ، وَقَدْ قَيَّدَ اَلْخَوْف أقْدامه وعَطَّلَ حَرَكَته فَسَأَلَهُ مُسْتَغْرِبَاً : ' مَا الَّذِي حَدَثَ ؟ مَا لِي أَرَاكَ هَكَذَاَ ؟ '","Ferid a rejoint Fahd et l'a trouvé nerveux et distrait, car la peur avait lié ses pieds et paralysé son mouvement, il lui a donc demandé avec étonnement : 'Qu'est-ce qui s'est passé ? Pourquoi te vois-je comme ça ?'","Ferid joined Fahd and found him nervous and distracted, as fear had tied his feet and paralyzed his movement, so he asked him in astonishment: 'What happened? Why do I see you like this?'"
phrase_1773132226,"تَفاجَأ فَرِيد مِمَّا سَمِع فَرَبَتَ عَلَى كَتِفِ فَهْد وَقَالَ أنه لَم يَعْهَدُهُ هَكَذَا ,  يَضْرِب كَفاً بكفٍ وَيَسْتَسْلِمُ ِعِنْدَ أَوَّلِ عَقَبَةٍ ,  فَدَعَاهُ  للبَحْثِ  عَنْ الْمُدَوَّنَةِ مَعًا .","Ferid fut surpris de ce qu'il entendit, il tapa donc sur l'épaule de Fahd et dit qu'il ne l'avait jamais vu comme ça, frappant son poing et se rendant au premier obstacle, il l'invita donc à rechercher le matériel enregistré ensemble.","Ferid was surprised at what he heard, so he tapped Fahd's shoulder and said that he had never seen him like this, hitting his fist and surrendering at the first obstacle, so he invited him to search for the recorded material together."
phrase_1773132385,"شَجَّعَ فَرِيدٌ صًدِيقَهُ عَلَى إعَادَةِ الْبَحْث وَانْطَلَق كُلٍّ مِنْهُمَا يُبْحَثُ مِنْ جِهَتِهِ عَلَى أَمَلِ إيجَادِ الْمُدَوَّنَةِ .","Ferid encourage son ami à refaire la recherche et chacun d'eux partit pour chercher de son côté dans l'espoir de trouver le cahier.","Ferid encouraged his friend to redo the search and each of them went to search from his side in the hope of finding the notebook."
phrase_1773132414,"وَمَرَّتْ سَاعَاتٌ مِنَ الْبَحْث كَأَنَّهَا دَقَائِقٌ وفجأةً صَاحَ فَهْدٌ : 'لقد وَجَدْتهَا ! لَا أُصَدِّقُ إنَّنِي وَضَعْتُهَا هُنَا ! هَيَّا يَا فَرِيد لِنَفْتَحْ الْخَزْنَة و نَبْدَأ فِي صُنْعِ قِطْعَةِ الْمُحَرِّك ! '","Et les heures de recherche sont passées comme des minutes, et soudain Fahd s'est écrié : 'Je l'ai trouvé ! Je ne crois pas que je l'aie mise ici ! Allons, Ferid, ouvrons le magasin et commençons à fabriquer la pièce du moteur !'","And the hours of searching passed like minutes, and suddenly Fahd exclaimed: 'I found it! I don't believe I put it here! Come on, Ferid, let's open the store and start making the engine piece!'"
phrase_1773132435,"اِنْبَسَطَت أَسَارِير وَجْه فَرِيدٍ وَتَحَمَّسَ لِبَدْءِ الصُّنْع . و اِشْتَعَلَت نَظَرَاتُ عَيْنَيْه بِفَرْحَةٍ نَاطِقَةٍ عِنْدَمَا أَحَسَّ أَنَّهُ سَيَعُودُ إلَى الطَّرِيقِ قريباً وَيُكْمِل مُهِمَّتَه. مَا أَرْوَع لَحَظَاتِ الْفَرَحِ إنّها كَالْغَيْثِ النَّافِعِ تَنْزِلُ عَلَى الصَّحْرَاءِ وَأَعْمَاقِهَا الْعَطْشَى  فتزهر كُلّ مِسَاحَاتِهَا","Les sourires d'un visage unique se sont élargis et sont devenus enthousiastes à l'idée de commencer le travail. Ses vues de l'œil se sont enflammées d'une joie éloquente lorsqu'il a senti qu'il allait bientôt retourner sur la route et compléter sa tâche. Quelles moments de joie sont awesomes, ils sont comme la pluie bénéfique tombant sur le désert et ses profondeurs assoiffées, donc toutes ses zones fleurissent.","The smiles of a unique face widened and became enthusiastic about starting work. His eye views ignited with eloquent joy when he felt that he would soon return to the road and complete his task. How awesome are the moments of joy, they are like beneficial rain falling on the desert and its thirsty depths, so all its areas bloom."
phrase_1773132492,"الصّفحة","Page","Page"
phrase_1775119392,"حكايات","Histoires","Stories"
main_page_phrase_1773132492,"الصفحة الرئيسية","Page principale","Main Page"

phrase_1776346134,"خروج","Sortie","Exit"
phrase_1776351069,"التصنيف","Classification","Classification"
phrase_1776351110,"نقاط الخبرة","Points d'expérience","Points of Experience"
phrase_1776351114,"إحصائيات الّلاعب","Statistiques du joueur","Player statistics"
phrase_1776351115,"أفضل نتيجة","Meilleur résultat","Best result"
phrase_1776351135,"جار التّحميل","Chargement","Loading"
phrase_1776351224,"المؤثرات الصوتية","Effets sonores","Sound effects"
phrase_1776351226,"الموسيقى","Musique","Music"
phrase_1776351229,"المستوى","Niveau","Level"
phrase_1776351234,"تهانينا! لقد وصلت إلى مستوى جديد","Félicitations,vous avez atteint un nouveau niveau","Congratulations,you've reached a new level"
phrase_1776355947,"أبحَثُ عَنْ هذَا العُنصر","cherchez cet élément","Look for this element"
phrase_1776356967,"إعادة","ReJouer","Restart"
phrase_1776356971,"حاول مجدداً","Essayez à nouveau","Try again"
phrase_1776357061,"لقد أنهيت المستوى","Vous avez terminé le niveau","You have finished the level"
phrase_1776357144,"النّتيجة","Résultat","Result"
phrase_1776357182,"تهانينا! لقد فتحت الوضع اّلانهائي","Félicitations,vous avez débloqué le mode infini","Congratulations,you've unlocked the infinite mode"
phrase_1776357198,"الوضع اللانهائي","Mode infinie","Infinite Mode"
phrase_1776357242,"إكمال مغامرة","Compléter l'aventure","Complete the adventure"
phrase_1776357431,"المستوى التالي","Niveau suivant","Next level"
phrase_1776357434,"مؤثرات صوتية","Effets sonores","Sound effects"
phrase_1776357437,"المؤثرات الموسيقية","Effets musicaux","Musical effects"


phrase_58291374620,"ألمنيوم","Aluminium","Aluminum"
phrase_94720583641,"ألماس","Diamant","Diamond"
phrase_19374652085,"أوبال","Opale","Opal"
phrase_66592017438,"بلاتين","Platine","Platinum"
phrase_82017463952,"تنغستن","Tungstène","Tungsten"
phrase_37492056148,"توباز","Topaze","Topaz"
phrase_91827364520,"راديوم","Radium","Radium"
phrase_72635481902,"رصاص","Plomb","Lead"
phrase_56473829150,"منغنيز","Manganèse","Manganese"
phrase_83726194075,"بالاديوم","Palladium","Palladium"
phrase_10928374615,"بلاتينيوم","Platine","Platinum"
phrase_67281930465,"فاناديوم","Vanadium","Vanadium"
phrase_91820473651,"كروم","Chrome","Chromium"
phrase_48291037645,"كوبالت","Cobalt","Cobalt"
phrase_75019283674,"موليبدينوم","Molybdène","Molybdenum"
phrase_56192048367,"نيكل","Nickel","Nickel"
phrase_84920173654,"يورانيوم","Uranium","Uranium"
phrase_39018274655,"مغنيسيوم","Magnésium","Magnesium"
phrase_10293847566,"حديد","Fer","Iron"
phrase_65748392011,"ذهب","Or","Gold"
phrase_48392017564,"زمرد","Émeraude","Emerald"
phrase_92038475610,"زئبق","Mercure","Mercury"
phrase_56473820198,"زنك","Zinc","Zinc"
phrase_83720194652,"فضة","Argent","Silver"
phrase_19283746509,"نحاس","Cuivre","Copper"
phrase_91827364012,"ياقوت","Rubis","Ruby"

phrase_71590238461,"إنطلق!","Aller!","Go!"
phrase_1776857406,"إحفظ المقطوعة","Mémorisez la séquence","Memorize the sequence"
phrase_1776857413,"أعد تكرار المقطوعة","Répéter le verset","Repeat the verse"
phrase_1776857417,"واصل أحسنت!","Très bien!","Well done!"
phrase_1776857446,"الوضع الحر","Mode libre","Free mode"
